mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,zcr,chroma,spectral_centroid,emotion,gender,file,emotion_group
-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.8492036,0.05047568044354839,0.63309145,7416.297747905874,neutral,male,data\Actor_01\03-01-01-01-01-01-01.wav,non-urgent
-719.1283,70.20157,1.168397,13.122541,7.83695,14.411292,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770774,3.031821,0.05290441543530351,0.629568,7135.571471113649,neutral,male,data\Actor_01\03-01-01-01-01-02-01.wav,non-urgent
-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.8781035,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622657,1.8734846,0.04662688314332247,0.6199844,7239.2656482489965,neutral,male,data\Actor_01\03-01-01-01-02-01-01.wav,non-urgent
-710.9753,67.56489,5.7822413,13.230726,6.190846,12.628252,-1.6751693,5.6574936,-4.9506335,-3.4775455,-7.416558,-1.9370041,2.2715254,0.05383546560402685,0.6126071,7008.958169433834,neutral,male,data\Actor_01\03-01-01-01-02-02-01.wav,non-urgent
-759.92175,75.78352,6.0236053,14.557394,6.4541874,14.631508,-3.004551,4.6209702,-5.200016,-0.70743024,-7.790287,-3.5649483,2.1809702,0.04592932275978916,0.6082433,6997.31180981541,calm,male,data\Actor_01\03-01-02-01-01-01-01.wav,non-urgent
-735.0066,79.09305,8.141051,11.413549,5.174124,15.393285,-2.7520719,2.9645836,-5.388972,-1.6918322,-5.8528347,-4.0432878,3.0046408,0.03303843842455621,0.6440443,6874.560406643111,calm,male,data\Actor_01\03-01-02-01-01-02-01.wav,non-urgent
-733.5249,81.58986,4.8633575,14.423686,5.267689,13.96856,-3.0856166,7.1732454,-4.821439,-0.9674488,-6.2504735,-3.8666399,3.3255188,0.045950382313829786,0.62399995,6853.974883221673,calm,male,data\Actor_01\03-01-02-01-02-01-01.wav,non-urgent
-728.363,82.324936,7.5005765,12.542465,6.788125,14.805659,-2.9095805,6.937839,-4.84434,-1.8469232,-5.68771,-3.6666536,2.2403512,0.04764336896088957,0.61212975,6798.674100010185,calm,male,data\Actor_01\03-01-02-01-02-02-01.wav,non-urgent
-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.846898,4.47025,-5.536262,0.8787948,-5.3482485,-3.0295565,2.3405733,0.03624225484913793,0.6458597,6773.71236908055,calm,male,data\Actor_01\03-01-02-02-01-01-01.wav,non-urgent
-733.9896,82.99157,3.796794,13.411559,3.1084962,16.039553,-5.652945,5.5606713,-7.8409877,-1.1772103,-5.7287865,-4.109694,3.8823817,0.04488291638962766,0.6053126,6517.976565172378,calm,male,data\Actor_01\03-01-02-02-01-02-01.wav,non-urgent
-735.9587,83.71625,8.720739,16.973064,1.3004172,16.308208,-2.9989035,8.180386,-9.681773,1.4794084,-8.105539,-3.2144182,3.27963,0.05152541534810127,0.56396556,6340.198382246475,calm,male,data\Actor_01\03-01-02-02-02-01-01.wav,non-urgent
-724.8058,83.05965,0.8636632,13.715781,5.3935227,15.34207,-3.8907716,6.682707,-9.109154,-2.3108945,-7.5575542,-2.6653073,4.4087,0.051087724401595744,0.58841205,6481.998136586812,calm,male,data\Actor_01\03-01-02-02-02-02-01.wav,non-urgent
-679.53876,78.69846,0.6677377,10.390019,5.2070203,11.5252285,-7.0435305,2.0349188,-6.769452,-3.4523165,-8.604058,-2.1430967,2.153603,0.05570150738113497,0.597833,6697.877340105959,happy,male,data\Actor_01\03-01-03-01-01-01-01.wav,non-urgent
-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.871698,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062539,3.7575347,0.039031046299846626,0.5978683,6308.368223553758,happy,male,data\Actor_01\03-01-03-01-01-02-01.wav,non-urgent
-693.60925,77.67328,2.3561034,12.037887,5.2729096,9.537619,-5.2778487,3.814017,-8.2640085,-3.2064865,-11.793282,-2.4545705,4.334239,0.048661932887801206,0.57352054,6667.926847169117,happy,male,data\Actor_01\03-01-03-01-02-01-01.wav,non-urgent
-683.93146,74.13294,1.0578566,17.886679,6.339445,11.593822,-5.891603,6.8250275,-6.5876675,-1.8747079,-10.637551,-2.1259463,2.790956,0.05662799703663793,0.5714745,6596.172435081965,happy,male,data\Actor_01\03-01-03-01-02-02-01.wav,non-urgent
-627.4205,67.704384,-6.669489,9.967615,-3.0760913,7.208737,-5.0634565,-2.993555,-10.524828,-4.9895763,-8.107446,-8.3624735,0.3314784,0.06302224864130435,0.5281766,6411.788635957509,happy,male,data\Actor_01\03-01-03-02-01-01-01.wav,non-urgent
-591.9702,72.971,-6.905822,4.645147,0.41286427,8.77231,-4.1541224,-3.5272965,-8.41551,-5.53817,-10.657866,-7.126159,4.071781,0.05315822030791789,0.5120772,5270.077517266869,happy,male,data\Actor_01\03-01-03-02-01-02-01.wav,non-urgent
-554.2307,70.283676,-10.080169,11.619575,-1.2718133,10.0290985,-6.932471,-0.2982609,-9.17895,-6.3009877,-12.87689,-5.181731,3.789686,0.0670383762668919,0.50444514,5571.829219140869,happy,male,data\Actor_01\03-01-03-02-02-01-01.wav,non-urgent
-568.1388,70.80917,-8.760222,11.967098,-2.9723804,10.001248,-8.551405,0.02781801,-9.052507,-6.3288474,-12.138224,-7.093578,1.7016895,0.059488492398648646,0.5390321,6222.558537890443,happy,male,data\Actor_01\03-01-03-02-02-02-01.wav,non-urgent
-715.8727,74.985306,2.9195237,11.441712,6.960729,13.466071,-6.72605,4.7315598,-6.0603504,-5.0608444,-7.6180463,-3.5482144,-1.2796025,0.03940700954861111,0.57361054,6355.887480300236,sad,male,data\Actor_01\03-01-04-01-01-01-01.wav,urgent
-732.4855,80.96551,3.486698,13.03123,8.979398,14.107941,-4.78729,6.040529,-4.208775,-5.16262,-7.1502514,-4.6642747,-0.31327254,0.04294980177238806,0.5823301,6610.435405112448,sad,male,data\Actor_01\03-01-04-01-01-02-01.wav,urgent
-766.6507,73.99263,2.4763808,10.077653,7.928804,11.792142,-5.2503986,4.0385647,-4.807725,-4.9669833,-7.7130537,-2.5745971,0.20226558,0.029216731572948327,0.59865254,6739.503739203785,sad,male,data\Actor_01\03-01-04-01-02-01-01.wav,urgent
